source;target;value
40687;40685;1
40688;40685;1
40689;40685;1
40690;40685;1
40691;40685;1
40692;40685;1
40693;40685;1
40694;40685;1
40695;40685;1
40696;40685;1
40697;40685;1
40698;40685;1
40699;40685;1
40700;40685;1
40701;40685;1
40702;40685;1
40703;40685;1
40704;40685;1
40705;40685;1
40706;40685;1
40707;40685;1
40708;40685;1
40709;40710;1
40711;40710;1
40712;40710;1
40713;40710;1
40714;40710;1
40715;40710;1
40716;40710;1
40717;40710;1
40718;40710;1
40719;40710;1
40720;40710;1
40721;40710;1
40722;40710;1
40723;40710;1
40724;40710;1
40725;40710;1
40726;40710;1
40727;40710;1
40728;40710;1
40729;40710;1
40730;40731;1
40732;40731;1
40733;40731;1
40734;40731;1
40735;40731;1
40736;40731;1
40737;40731;1
40738;40739;1
40740;40739;1
40741;40739;1
40742;40739;1
40743;40739;1
40744;40739;1
40745;40739;1
40746;40739;1
40747;40739;1
40748;40739;1
40749;40739;1
40750;40739;1
40751;40739;1
40752;40739;1
40753;40739;1
40754;40739;1
40755;40739;1
40756;40739;1
40757;40739;1
40758;40739;1
40759;40739;1
40760;40739;1
40761;40739;1
40762;40739;1
40763;40739;1
40764;40765;1
40764;40879;1
40766;40765;1
40766;40879;1
40767;40765;1
40767;40879;1
40768;40765;1
40768;40879;1
40769;40765;1
40769;40879;1
40770;40765;1
40770;40879;1
40771;40765;1
40771;40879;1
40772;40765;1
40772;40879;1
40773;40765;1
40773;40879;1
40774;40765;1
40774;40879;1
40775;40765;1
40775;40879;1
40776;40765;1
40776;40879;1
40777;40765;1
40777;40879;1
40778;40765;1
40778;40879;1
40779;40765;1
40779;40879;1
40780;40765;1
40780;40879;1
40781;40765;1
40781;40879;1
40782;40765;1
40782;40879;1
40783;40765;1
40783;40879;1
40784;40765;1
40784;40879;1
40785;40765;1
40785;40879;1
40786;40765;1
40786;40879;1
40787;40765;1
40787;40879;1
40788;40765;1
40788;40879;1
40789;40765;1
40789;40879;1
40790;40765;1
40790;40879;1
40791;40765;1
40791;40879;1
40792;40765;1
40792;40879;1
40793;40765;1
40793;40879;1
40794;40765;1
40794;40879;1
40795;40765;1
40795;40879;1
40796;40765;1
40796;40879;1
40797;40765;1
40797;40879;1
40798;40765;1
40798;40879;1
40799;40765;1
40799;40879;1
40800;40765;1
40800;40879;1
40801;40765;1
40801;40879;1
40802;40765;1
40802;40879;1
40803;40765;1
40803;40879;1
40804;40765;1
40804;40879;1
40805;40765;1
40805;40879;1
40806;40765;1
40806;40879;1
40807;40765;1
40807;40879;1
40808;40765;1
40808;40879;1
40809;40765;1
40809;40879;1
40810;40765;1
40810;40879;1
40811;40765;1
40811;40879;1
40812;40765;1
40812;40879;1
40813;40765;1
40813;40879;1
40814;40765;1
40814;40879;1
40815;40765;1
40816;40765;1
40816;40879;1
40817;40765;1
40817;40879;1
40818;40765;1
40818;40879;1
40819;40765;1
40819;40879;1
40820;40765;1
40820;40879;1
40821;40765;1
40821;40879;1
40822;40765;1
40822;40879;1
40823;40765;1
40823;40879;1
40824;40765;1
40824;40879;1
40825;40765;1
40825;40879;1
40826;40765;1
40826;40879;1
40827;40765;1
40827;40879;1
40828;40765;1
40828;40879;1
40829;40765;1
40829;40879;1
40830;40765;1
40830;40879;1
40831;40765;1
40831;40879;1
40832;40765;1
40832;40879;1
40833;40765;1
40833;40879;1
40834;40765;1
40834;40879;1
40835;40765;1
40835;40879;1
40836;40765;1
40836;40879;1
40837;40765;1
40837;40879;1
40838;40765;1
40838;40879;1
40839;40765;1
40839;40879;1
40840;40765;1
40840;40879;1
40841;40765;1
40841;40879;1
40842;40765;1
40842;40879;1
40843;40765;1
40843;40879;1
40844;40765;1
40844;40879;1
40845;40765;1
40845;40879;1
40846;40765;1
40846;40879;1
40847;40765;1
40847;40879;1
40848;40765;1
40848;40879;1
40849;40765;1
40849;40879;1
40850;40765;1
40850;40879;1
40851;40765;1
40851;40879;1
40852;40765;1
40852;40879;1
40853;40765;1
40853;40879;1
40854;40765;1
40854;40879;1
40855;40765;1
40855;40879;1
40856;40765;1
40856;40879;1
40857;40765;1
40857;40879;1
40858;40765;1
40858;40879;1
40859;40765;1
40859;40879;1
40860;40765;1
40860;40879;1
40861;40765;1
40861;40879;1
40862;40765;1
40862;40879;1
40863;40765;1
40863;40879;1
40864;40765;1
40864;40879;1
40865;40765;1
40865;40879;1
40866;40765;1
40866;40879;1
40867;40868;1
40869;40868;1
40870;40868;1
40871;40868;1
40872;40868;1
40873;40868;1
40874;40868;1
40875;40868;1
40876;40868;1
40877;40868;1
40878;40868;1
40880;40879;1
40881;40882;1
40883;40882;1
40884;40882;1
40885;40882;1
40886;40882;1
40887;40882;1
40888;40882;1
40889;40882;1
40890;40882;1
40891;40882;1
40892;40882;1
40893;40894;1
40895;40894;1
40896;40894;1
40897;40894;1
40898;40894;1
40899;40894;1
40900;40894;1
40901;40894;1
40902;40894;1
40903;40894;1
40904;40894;1
40905;40894;1
40906;40894;1
40907;40894;1
40908;40894;1
40909;40894;1
40910;40894;1
40911;40894;1
40912;40894;1
40913;40894;1
40914;40894;1
40915;40894;1
40916;40894;1
40917;40918;1
40919;40918;1
40920;40918;1
40921;40918;1
40922;40918;1
40923;40918;1
40924;40918;1
40925;40918;1
40926;40927;1
40928;40927;1
40929;40927;1
40930;40927;1
40931;40927;1
40932;40927;1
40933;40927;1
40934;40927;1
40935;40927;1
40936;40937;1
40938;40937;1
40939;40937;1
40940;40941;1
40942;40941;1
40943;40941;1
40944;40941;1
40945;40941;1
40946;40941;1
40947;40941;1
40948;40941;1
40949;40950;1
40951;40950;1
40952;40950;1
40953;40954;1
40955;40954;1
40956;40954;1
40957;40954;1
40958;40954;1
40959;40954;1
40960;40954;1
40961;40954;1
40962;40954;1
40963;40954;1
40964;40954;1
40965;40954;1
40966;40954;1
40967;40954;1
40968;40954;1
40969;40954;1
40970;40954;1
40971;40954;1
40972;40954;1
40973;40954;1
40974;40954;1
40975;40954;1
40976;40954;1
40977;40954;1
40978;40954;1
40979;40954;1
40980;40954;1
40981;40954;1
40982;40954;1
40983;40954;1
40984;40985;1
40986;40985;1
40987;40985;1
40988;40985;1
40989;40985;1
40990;40985;1
40991;40985;1
40992;40985;1
40993;40985;1
40994;40985;1
40995;40985;1
40996;40985;1
40997;40985;1
40998;40985;1
40999;40985;1
41000;40985;1
41001;40985;1
41002;40985;1
41003;40985;1
41004;40985;1
41005;40985;1
41006;40985;1
41007;40985;1
41008;40985;1
41009;40985;1
41010;40985;1
41011;40985;1
41012;40985;1
41013;40985;1
41014;40985;1
41015;40985;1
41016;40985;1
41017;40985;1
41018;40985;1
41019;40985;1
41020;40985;1
41021;40985;1
41022;40985;1
41023;40985;1
41024;40985;1
41025;40985;1
41026;40985;1
41027;40985;1
41028;40985;1
41029;40985;1
41030;40985;1
41031;40985;1
41032;40985;1
41033;40985;1
41034;40985;1
41035;41036;1
41037;41036;1
41038;41036;1
41039;41036;1
41040;41036;1
41041;41036;1
41042;41036;1
41043;41036;1
41044;41036;1
41045;41036;1
41046;41036;1
41047;41036;1
41048;41036;1
41049;41036;1
41050;41036;1
41051;41036;1
41052;41036;1
41053;41036;1
41054;41036;1
41055;41036;1
41056;41036;1
41057;41036;1
41058;41036;1
41059;41036;1
41060;41036;1
41061;41036;1
41062;41036;1
41063;41036;1
41064;41036;1
41065;41066;1
41067;41066;1
41068;41066;1
41069;41066;1
41070;41066;1
41071;41066;1
41072;41066;1
41073;41066;1
41074;41066;1
41075;41066;1
41076;41066;1
41077;41066;1
41078;41066;1
41079;41066;1
41080;41066;1
41081;41066;1
41082;41066;1
41083;41066;1
41084;41066;1
41085;41066;1
41086;41087;1
41088;41087;1
41089;41087;1
41090;41087;1
41091;41087;1
41092;41087;1
41093;41087;1
41094;41087;1
41095;41087;1
41096;41097;1
41098;41097;1
41099;41097;1
41100;41097;1
41101;41102;1
41103;41102;1
41104;41102;1
41105;41102;1
41106;41102;1
41107;41102;1
41108;41102;1
41109;41102;1
41110;41102;1
41111;41112;1
41113;41112;1
41114;41112;1
41115;41112;1
41116;41112;1
41117;41112;1
41118;41112;1
41119;41112;1
41120;41112;1
41121;41112;1
41122;41112;1
41123;41112;1
41124;41112;1
41125;41112;1
41126;41112;1
41127;41112;1
41128;41112;1
